"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"1","tropical fruit","yogurt","coffee",""
"2","whole milk","","",""
"3","pip fruit","yogurt","cream cheese ","meat spreads"
"4","other vegetables","whole milk","condensed milk","long life bakery product"
"5","whole milk","butter","yogurt","rice"
"6","abrasive cleaner","","",""
"7","rolls/buns","","",""
"8","other vegetables","UHT-milk","rolls/buns","bottled beer"
"9","liquor (appetizer)","","",""
"10","pot plants","","",""
"11","whole milk","cereals","",""
"12","tropical fruit","other vegetables","white bread","bottled water"
"13","chocolate","","",""
"14","citrus fruit","tropical fruit","whole milk","butter"
"15","curd","yogurt","flour","bottled water"
"16","dishes","","",""
"17","beef","","",""
"18","frankfurter","rolls/buns","soda",""
"19","chicken","tropical fruit","",""
"20","butter","sugar","fruit/vegetable juice","newspapers"
"21","fruit/vegetable juice","","",""
"22","packaged fruit/vegetables","","",""
"23","chocolate","","",""
"24","specialty bar","","",""
"25","other vegetables","","",""
"26","butter milk","pastry","",""
"27","whole milk","","",""
"28","tropical fruit","cream cheese ","processed cheese","detergent"
"29","newspapers","","",""
"30","tropical fruit","root vegetables","other vegetables","frozen dessert"
"31","rolls/buns","flour","sweet spreads","salty snack"
"32","waffles","candy","bathroom cleaner",""
"33","bottled water","canned beer","",""
"34","yogurt","","",""
"35","sausage","rolls/buns","soda","chocolate"
"36","other vegetables","","",""
"37","brown bread","soda","fruit/vegetable juice","canned beer"
"38","newspapers","shopping bags","",""
"39","yogurt","beverages","bottled water","specialty bar"
"40","hamburger meat","other vegetables","rolls/buns","spices"
"41","bottled water","hygiene articles","napkins",""
"42","root vegetables","other vegetables","whole milk","beverages"
"43","sugar","","",""
"44","pork","berries","other vegetables","whole milk"
"45","whipped/sour cream","artif. sweetener","soda","abrasive cleaner"
"46","beef","grapes","detergent",""
"47","pastry","soda","",""
"48","fruit/vegetable juice","","",""
"49","canned beer","","",""
"50","root vegetables","other vegetables","whole milk","dessert"
"51","citrus fruit","zwieback","newspapers",""
"52","sausage","rolls/buns","soda","canned beer"
"53","specialty bar","shopping bags","",""
"54","tropical fruit","root vegetables","whole milk","yogurt"
"55","domestic eggs","brown bread","pastry","sugar"
"56","cereals","coffee","soda","waffles"
