"","rules","support","confidence","lift","count"
"637","{citrus fruit,other vegetables,whole milk} => {root vegetables}",0.0057956278596848,0.4453125,4.0854929454291,57
"303","{butter,other vegetables} => {whipped/sour cream}",0.0057956278596848,0.289340101522843,4.03639701911654,57
"9","{herbs} => {root vegetables}",0.00701576004067107,0.43125,3.95647737873134,69
"403","{citrus fruit,pip fruit} => {tropical fruit}",0.00559227249618709,0.404411764705882,3.85405979252166,55
"68","{berries} => {whipped/sour cream}",0.0090493136756482,0.27217125382263,3.7968855054547,89
"645","{other vegetables,tropical fruit,whole milk} => {root vegetables}",0.00701576004067107,0.410714285714286,3.76807369402985,69
"642","{root vegetables,whole milk,yogurt} => {tropical fruit}",0.00569395017793594,0.391608391608392,3.7320431506478,56
"631","{other vegetables,pip fruit,whole milk} => {root vegetables}",0.00549059481443823,0.406015037593985,3.72496072270228,54
"226","{curd,tropical fruit} => {yogurt}",0.00528723945094052,0.514851485148515,3.69064457466155,52
"212","{beef,other vegetables} => {root vegetables}",0.00793085917641078,0.402061855670103,3.68869249115248,78
"165","{onions,other vegetables} => {root vegetables}",0.00569395017793594,0.4,3.66977611940298,56
"628","{other vegetables,whole milk,yogurt} => {whipped/sour cream}",0.00559227249618709,0.251141552511416,3.50351371482237,55
"416","{other vegetables,tropical fruit} => {pip fruit}",0.00945602440264362,0.263456090651558,3.48264872521246,93
"621","{fruit/vegetable juice,other vegetables,whole milk} => {yogurt}",0.00508388408744281,0.485436893203884,3.47978997424212,50
"214","{beef,whole milk} => {root vegetables}",0.00803253685815963,0.37799043062201,3.46785063914875,79
"413","{pip fruit,yogurt} => {tropical fruit}",0.00640569395017794,0.355932203389831,3.39204769412692,63
"411","{root vegetables,tropical fruit} => {pip fruit}",0.00528723945094052,0.251207729468599,3.32073658511246,52
"468","{citrus fruit,other vegetables} => {root vegetables}",0.0103711235383833,0.359154929577465,3.2950454593231,102
"483","{rolls/buns,shopping bags} => {sausage}",0.00599898322318251,0.307291666666667,3.27079387626263,59
"459","{root vegetables,tropical fruit} => {citrus fruit}",0.00569395017793594,0.270531400966184,3.26864413820936,56
"650","{other vegetables,whole milk,yogurt} => {tropical fruit}",0.00762582613116421,0.342465753424658,3.2637119040034,75
"624","{other vegetables,whipped/sour cream,whole milk} => {root vegetables}",0.00518556176919166,0.354166666666667,3.24928093905473,51
"654","{other vegetables,whole milk,yogurt} => {root vegetables}",0.00782918149466192,0.351598173515982,3.22571645198664,77
"382","{tropical fruit,whipped/sour cream} => {yogurt}",0.00620233858668022,0.448529411764706,3.21522358943577,61
"658","{other vegetables,rolls/buns,whole milk} => {root vegetables}",0.00620233858668022,0.346590909090909,3.17977760345997,61
"201","{frozen vegetables,other vegetables} => {root vegetables}",0.00610066090493137,0.342857142857143,3.1455223880597,60
"557","{other vegetables,tropical fruit} => {root vegetables}",0.0123029994916116,0.342776203966006,3.14477981903514,121
"185","{chicken,whole milk} => {root vegetables}",0.00599898322318251,0.341040462427746,3.12885536191873,59
"377","{pip fruit,whipped/sour cream} => {other vegetables}",0.00559227249618709,0.604395604395604,3.12361049355269,55
"57","{sliced cheese} => {sausage}",0.00701576004067107,0.286307053941909,3.04743493021501,69
